127.0.0.1 - - [04/Apr/2023:09:26:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:26:15 +0900] "GET /jsp/ch11/lecture/05object/13paramValues.jsp HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:42:56 +0900] "GET /jsp/ch11/lecture/05object/16form.jsp HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:43:06 +0900] "GET /jsp/ch11/lecture/05object/17process.jsp?email=aingdevil%40naver.com&food=%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC&food=%EC%82%BC%EA%B2%B9%EC%82%B4&food=%EC%99%80%EA%B7%9C&food=%EB%8F%88%EA%B9%8C%EC%8A%A4 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:44:10 +0900] "GET /jsp/ch11/lecture/05object/16form.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:44:12 +0900] "GET /jsp/ch11/lecture/05object/17process.jsp?email=&food=%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC&food=%EC%82%BC%EA%B2%B9%EC%82%B4&food=%EC%99%80%EA%B7%9C&food=%EA%B7%9C%EC%B9%B4%EC%B8%A0&food=%EB%8F%88%EA%B9%8C%EC%8A%A4 HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:49:09 +0900] "GET /jsp/ch11/lecture/05object/16form.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [04/Apr/2023:09:49:42 +0900] "GET /jsp/ch11/lecture/05object/16form.jsp HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:13:20 +0900] "GET /jsp/ch11/lecture/05object/18label.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:14:26 +0900] "GET /jsp/ch11/lecture/05object/18label.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:21:19 +0900] "GET /jsp/ch11/lecture/05object/19form.jsp HTTP/1.1" 200 636
